slug,name,overview,photos
commpub,COMMPUB,The Communications and Publications Department produces creative media and documentation as well as promotional material and event design for Celadon. It also oversees the branding and public relations of the organization by managing the organization's official social media channels.,"https://drive.google.com/file/d/1ovSEkadzG64sDOiRcLGqROV8ZwKew4mM/view?usp=sharing
https://drive.google.com/file/d/1dIBIBfTDWpuRY2exahfIWpNyA9tnNR2p/view?usp=sharing
https://drive.google.com/file/d/1wEiN-RXls41ss74PU-Cax0JFciIjGi5K/view?usp=sharing"
cul,CUL,"The Cultural Affairs Department spearheads the cultivation of the awareness, understanding, and appreciation of Chinese-Filipino culture to both Celadon and the greater Philippine community. It establishes connections and interactions to encourage a mutual acknowledgment of culture.","https://drive.google.com/file/d/1EObKNBq_kIsCuTbxjnM1dw8iLLlyOdz2/view?usp=sharing
https://drive.google.com/file/d/1jVolDlrZMX37FqDKS1gpE7_yF0yEYr2s/view?usp=sharing
https://drive.google.com/file/d/1ZhJGpK5VZh_KUxwc0wevF8t_BJqwAYLO/view?usp=sharing"
exrel,EXREL,The External Relations Department serves as the official liaison of Ateneo Celadon towards external organizations and corporations. It aims to provide value to both the internal and external stakeholders of the organization through sponsorships and partnerships.,"https://drive.google.com/file/d/1JsBPqzxUvTWqeBEuXUrjm0ADm6Npudog/view?usp=sharing
https://drive.google.com/file/d/1qEMN2cKEiGg23JJAxIDqD6tb6D56eO8q/view?usp=sharing"
fin,FIN,The Financial Affairs Department is responsible for all Celadon financial matters including major fundraising projects for the organization and other financial transactions. It is in charge of instilling financial responsibility as well as encouraging sustainable innovation.,"https://drive.google.com/file/d/1-mrQbzFxPxST2TWdCF8y4KskoY3d_MPZ/view?usp=sharing
https://drive.google.com/file/d/1HD8OwuleZDINFMiRiO6U1_jcA-QjlpSv/view?usp=sharing
https://drive.google.com/file/d/1AAXQVdFdxuBa5JdtmypD-Cy5Y7d9lfwW/view?usp=sharing
https://drive.google.com/file/d/1oGr66tI5ae7NbGQe0I2PpeCtTXkFhu2M/view?usp=sharing"
hr,HR,The Human Resources Department centers on projects that provide membership development and leadership formation. It is responsible for fostering an internal organization culture that is embedded with modern Chinese-Filipino values.,"https://drive.google.com/file/d/1eE5KDuWLjta5FeTYx4Q9xpW2rSOW_IB4/view?usp=sharing
https://drive.google.com/file/d/1HXWW5aKobU5QxYzBz-xqaJ25YSJIZJDU/view?usp=sharing
https://drive.google.com/file/d/1Gsda_qPjpdlSu2c0kK5iJfaNP5HW3L_e/view?usp=sharing"
osr,OSR,The Organization Strategies & Research Department oversees Celadon's overall welfare by spearheading various research and evaluations. It serves to provide recommendations for improvement of projects and systems through data assessment.,"https://drive.google.com/file/d/1q1alVd0V7dQQsXe6whTvLHUDJ99hDZz6/view?usp=sharing
https://drive.google.com/file/d/1qlCvbvZE109FOBSANUdfrJGzSP6TofCo/view?usp=sharing
https://drive.google.com/file/d/1wvPeHwVW8_Gc1ntAdVuwxQe0W1bbUwYa/view?usp=sharing"
