term,definition
Department,"The different offices of the organization (e.g., COMMPUB, CUL, EXREL, FIN, HR, OSR)."
Deputy,A year-long junior position that trains within their department and is deployed across multiple projects in a supporting or leading capacity.
Manager,"A senior position in a department responsible for owning and directing either a project or a standing department system, and for leading and empowering the team deployed to it."
Core Team,"A team, led by managers, that work to plan and execute a project."
Committee,Refers to the different working groups in a core team.
Committee Head,Pertains to the leader/s of a specific committee who are responsible for all the members of their committee.
